period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,teamId,game_id
1,PT11M43.00S,11:43,Q1 11:43,46.28333333333333,7,2pt,D. Ayton 14' Jump Shot (2 PTS) (C. Paul 1 AST),['pointsinthepaint'],Ayton,2,0,Made,True,True,1629028,101108.0,,2pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT11M20.00S,11:20,Q1 11:20,46.666666666666664,9,2pt,MISS T. Hardaway Jr. 9' driving floating Shot,['pointsinthepaint'],Hardaway Jr.,2,0,Missed,True,False,203501,,2pt made,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT11M18.00S,11:18,Q1 11:18,46.7,10,rebound,T. Hardaway Jr. REBOUND (Off:1 Def:0),[],Hardaway Jr.,2,0,,False,False,203501,,2pt missed,3pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT11M17.00S,11:17,Q1 11:17,46.71666666666667,11,3pt,D. Finney-Smith 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),['2ndchance'],Finney-Smith,2,3,Made,True,True,1627827,203501.0,rebound,2pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT11M05.00S,11:05,Q1 11:05,46.916666666666664,13,2pt,T. Craig cutting Layup (2 PTS) (M. Bridges 1 AST),['pointsinthepaint'],Craig,4,3,Made,True,True,1628470,1628969.0,3pt made,3pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT10M53.00S,10:53,Q1 10:53,45.11666666666667,15,3pt,MISS D. Finney-Smith 24' 3PT,[],Finney-Smith,4,3,Missed,True,False,1627827,,2pt made,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT10M50.00S,10:50,Q1 10:50,45.166666666666664,16,rebound,D. Ayton REBOUND (Off:0 Def:1),[],Ayton,4,3,,False,False,1629028,,3pt missed,3pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT10M46.00S,10:46,Q1 10:46,45.233333333333334,17,3pt,MISS M. Bridges 24' running pullup 3PT,['fastbreak'],Bridges,4,3,Missed,True,False,1628969,,rebound,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT10M43.00S,10:43,Q1 10:43,45.28333333333333,18,rebound,L. Doncic REBOUND (Off:0 Def:1),[],Doncic,4,3,,False,False,1629029,,3pt missed,2pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT10M32.00S,10:32,Q1 10:32,45.46666666666667,19,2pt,MISS L. Doncic 11' fadeaway Shot,['pointsinthepaint'],Doncic,4,3,Missed,True,False,1629029,,rebound,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT10M28.00S,10:28,Q1 10:28,45.53333333333333,20,rebound,D. Finney-Smith REBOUND (Off:1 Def:0),[],Finney-Smith,4,3,,False,False,1627827,,2pt missed,3pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT10M26.00S,10:26,Q1 10:26,45.56666666666667,21,3pt,T. Hardaway Jr. 26' 3PT  (3 PTS) (D. Finney-Smith 1 AST),['2ndchance'],Hardaway Jr.,4,6,Made,True,True,203501,1627827.0,rebound,2pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT10M10.00S,10:10,Q1 10:10,45.833333333333336,23,2pt,C. Johnson driving finger roll Layup (2 PTS) (T. Craig 1 AST),['pointsinthepaint'],Johnson,6,6,Made,True,True,1629661,1628470.0,3pt made,2pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT09M52.00S,09:52,Q1 09:52,44.13333333333333,25,2pt,D. Powell DUNK (2 PTS) (S. Dinwiddie 1 AST),['pointsinthepaint'],Powell,6,8,Made,True,True,203939,203915.0,2pt made,2pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT09M27.00S,09:27,Q1 09:27,44.55,27,2pt,MISS C. Paul 19' pullup Shot,[],Paul,6,8,Missed,True,False,101108,,2pt made,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT09M24.00S,09:24,Q1 09:24,44.6,28,rebound,D. Ayton REBOUND (Off:1 Def:1),[],Ayton,6,8,,False,False,1629028,,2pt missed,3pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT09M23.00S,09:23,Q1 09:23,44.61666666666667,29,3pt,C. Paul 25' 3PT  (3 PTS) (D. Ayton 1 AST),['2ndchance'],Paul,9,8,Made,True,True,101108,1629028.0,rebound,3pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT09M05.00S,09:05,Q1 09:05,44.916666666666664,31,3pt,MISS L. Doncic 25' step back 3PT,[],Doncic,9,8,Missed,True,False,1629029,,3pt made,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT09M02.00S,09:02,Q1 09:02,44.96666666666667,32,rebound,D. Ayton REBOUND (Off:1 Def:2),[],Ayton,9,8,,False,False,1629028,,3pt missed,turnover,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT09M02.00S,09:02,Q1 09:02,44.96666666666667,34,turnover,D. Ayton bad pass out-of-bounds TURNOVER (1 TO),[],Ayton,9,8,,False,False,1629028,,rebound,3pt missed,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT08M49.00S,08:49,Q1 08:49,43.18333333333333,35,3pt,MISS T. Hardaway Jr. 25' pullup 3PT,['fromturnover'],Hardaway Jr.,9,8,Missed,True,False,203501,,turnover,rebound,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT08M46.00S,08:46,Q1 08:46,43.233333333333334,36,rebound,D. Ayton REBOUND (Off:1 Def:3),[],Ayton,9,8,,False,False,1629028,,3pt missed,3pt made,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT08M41.00S,08:41,Q1 08:41,43.31666666666667,37,3pt,T. Craig 25' 3PT  (5 PTS) (M. Bridges 2 AST),['fastbreak'],Craig,12,8,Made,True,True,1628470,1628969.0,rebound,timeout,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612756.0,22200734
1,PT08M39.00S,08:39,Q1 08:39,43.35,39,timeout,DAL Timeout,"['team', 'mandatory']",,12,8,,False,False,0,,3pt made,substitution,,,,101108|1627827|1628470|1628969|1629028|1629029|1629661|203501|203915|203939,1610612742.0,22200734
1,PT08M39.00S,08:39,Q1 08:39,43.35,40,substitution,SUB out: L. Doncic,[],Doncic,12,8,,False,False,1629029,,timeout,substitution,,,,101108|1627827|1628470|1628969|1629028|1629661|203501|203915|203939,1610612742.0,22200734
1,PT08M39.00S,08:39,Q1 08:39,43.35,41,substitution,SUB in: J. Green,[],Green,12,8,,False,False,1630182,,substitution,2pt missed,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612742.0,22200734
1,PT08M19.00S,08:19,Q1 08:19,43.68333333333333,42,2pt,MISS S. Dinwiddie 13' driving floating Shot,['pointsinthepaint'],Dinwiddie,12,8,Missed,True,False,203915,,substitution,rebound,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612742.0,22200734
1,PT08M17.00S,08:17,Q1 08:17,43.71666666666667,43,rebound,D. Ayton REBOUND (Off:1 Def:4),[],Ayton,12,8,,False,False,1629028,,2pt missed,3pt missed,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612756.0,22200734
1,PT08M12.00S,08:12,Q1 08:12,43.8,44,3pt,MISS T. Craig 26' 3PT,['fastbreak'],Craig,12,8,Missed,True,False,1628470,,rebound,rebound,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612756.0,22200734
1,PT08M08.00S,08:08,Q1 08:08,43.86666666666667,45,rebound,D. Ayton REBOUND (Off:2 Def:4),[],Ayton,12,8,,False,False,1629028,,3pt missed,2pt missed,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612756.0,22200734
1,PT08M05.00S,08:05,Q1 08:05,43.916666666666664,46,2pt,MISS D. Ayton 19' Jump Shot,['2ndchance'],Ayton,12,8,Missed,True,False,1629028,,rebound,rebound,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612756.0,22200734
1,PT08M00.00S,08:00,Q1 08:00,44.0,47,rebound,D. Finney-Smith REBOUND (Off:1 Def:1),[],Finney-Smith,12,8,,False,False,1627827,,2pt missed,2pt made,,,,101108|1627827|1628470|1628969|1629028|1629661|1630182|203501|203915|203939,1610612742.0,22200734
